Genre,Views,Series
Arts and Music,"55,165",The Lawrence Welk Show
Arts and Music,"35,484",Austin City Limits
Arts and Music,"35,150",Icon Music Through the Lens
Arts and Music,"19,218",Songs at the Center
Arts and Music,"11,857",ACL 9th Annual Hall of Fame Honors John Prine
Arts and Music,"11,539",30Minute Music Hour
Arts and Music,"8,182",Guys and Dolls
Arts and Music,"6,105",Design in Mind
Arts and Music,"5,487",Acapocalypse A Cappellas New Note
Arts and Music,"5,024",Great Performances
Arts and Music,"4,112",Luna and Sophie
Arts and Music,"3,775",Fight the Power How Hip Hop Changed the World
Arts and Music,"1,795",Jambo
Arts and Music,"1,702",Agatha Christie Lucy Worsley on the Mystery Queen
Arts and Music,"1,489",Variety Studio Actors on Actors
Arts and Music,805,State Honors Concert
Arts and Music,756,Next at the Kennedy Center
Arts and Music,341,Birch Creek Jazz
Arts and Music,313,Lakeshore Classic Movies
Arts and Music,293,Live From Lincoln Center
Arts and Music,262,Design in Mind Unlocking the Mysteries of Place With Gil Schafer
Arts and Music,261,A Very Brief History of A Cappella Music
Arts and Music,245,Wisconsin Young Artists Compete The Final Forte
Arts and Music,223,Sound Field
Arts and Music,201,A Century of Quilts
Arts and Music,200,Holiday Concert from UWEau Claire
Arts and Music,188,Christmas With The Tabernacle Choir
Arts and Music,179,Jazz
Arts and Music,178,Becoming Frida Kahlo
Arts and Music,171,GET Vocal Point
Arts and Music,140,Spirited Songs  Tell Me Why
Arts and Music,138,Art21 Art in the TwentyFirst Century
Arts and Music,112,Gershwin Prize
Arts and Music,95,The Nutcracker and the Mouse King
Arts and Music,91,Fight the Power
Arts and Music,87,The Caverns Sessions
Arts and Music,78,UW Varsity Band Concert 2023
Arts and Music,78,David Holts State of Music
Arts and Music,77,The Highwaymen Live at Nassau Coliseum
Arts and Music,74,Stories from the Stage
Arts and Music,67,Celtic Woman 20th Anniversary Concert
Arts and Music,57,Milwaukee High School of the Arts Vocal Jazz Ensemble
Arts and Music,50,Bluegrass Underground
Arts and Music,43,Bob Dylan Shadow Kingdom
Arts and Music,42,Neil Diamond The Thank You Australia Concert Live 1976
Arts and Music,40,Carole King Home Again  Live in Central Park
Arts and Music,38,Katie Dahl
Arts and Music,37,Gospel
Arts and Music,34,The Kate
Arts and Music,28,United in Song
Arts and Music,28,ARRIVAL from Sweden The Music of ABBA
Arts and Music,28,The British Beat My Music
Arts and Music,26,Johnny Cash Man in Black  Live in Denmark 1971
Arts and Music,25,UW Varsity Band Concert 2022
Arts and Music,25,Roy Orbison  Friends A Black  White Night
Arts and Music,24,PBS Arts Talk
Arts and Music,23,Southern Storytellers
Arts and Music,23,Poetry in America
Arts and Music,23,In Motion
Arts and Music,22,In Performance at The White House
Arts and Music,19,Fanny The Right to Rock
Arts and Music,18,Lynyrd Skynyrd Celebrating 50 Years Recorded Live at the Ryman
Arts and Music,17,Celtic Woman
Arts and Music,17,Yacht Rock Revue 70s and 80s Hits Live From New York
Arts and Music,16,Straight No Chaser The 25th Anniversary Celebration
Arts and Music,16,This Land Is Your Land My Music Presents
Arts and Music,15,The Light
Arts and Music,13,Postcards
Arts and Music,12,Classicalia
Arts and Music,12,Ella Wishes You a Swinging Christmas with Vanessa Williams
Arts and Music,12,Peter Frampton at Royal Albert Hall
Arts and Music,11,Concerts on the Square
Arts and Music,11,Nitty Gritty Dirt Band and Friends 50 Years and Circlin Back
Arts and Music,10,In Concert at the Hollywood Bowl
Arts and Music,10,Billy Joel Live at Yankee Stadium
Arts and Music,10,How Great Thou Art A Sacred Celebration
Arts and Music,10,The Dean Martin and Frank Sinatra Family Christmas Show
Arts and Music,10,Sting Live at the Olympia Paris
Arts and Music,10,Christmas at Belmont
Arts and Music,9,Billy Strings at the Ryman Auditorium
Arts and Music,8,One Voice The Songs We Share
Arts and Music,8,We Remember Songs of Survivors
Arts and Music,8,The New Divas Live In Vienna
Arts and Music,8,A Capitol Fourth
Arts and Music,8,John Denvers Rocky Mountain High
Arts and Music,8,The Rolling Stones Rock and Roll Circus
Arts and Music,7,OOPS
Arts and Music,7,All is Calm The Christmas Truce of 1914
Arts and Music,7,Chamber Music Society Returns
Arts and Music,7,Classical Rewind
Arts and Music,7,Live From Bradley Symphony Center Milwaukee Symphony Orchestra
Arts and Music,7,Mike Leckrone Wisconsins Showman
Arts and Music,7,My Music with Rhiannon Giddens
Arts and Music,7,Art School
Arts and Music,7,Concert for George
Arts and Music,7,The Stoughton Norwegian Dancers
Arts and Music,6,Riverdance 25th Anniversary Show
Arts and Music,6,Leonard Cohen Dance Me  Ballets Jazz de Montreal
Arts and Music,6,National Memorial Day Concert
Arts and Music,6,Inside the Met
Culture,"494,888",Finding Your Roots
Culture,"183,036",John McGiverns Main Streets
Culture,"80,714",Wisconsin Life
Culture,"59,978",Celebrity Antiques Road Trip
Culture,"52,485",Civilizations
Culture,"51,813",University Place
Culture,"39,851",Rick Steves Europe
Culture,"19,893",10 That Changed
Culture,"17,549",Wisconsin Hometown Stories
Culture,"13,456",10 Modern Marvels That Changed America
Culture,"6,853",Shipwrecks The Immersive Experience
Culture,"3,032",Secrets of the Royal Palaces
Culture,"1,968",10 Towns That Changed America
Culture,"1,814",Why Race Matters
Culture,"1,145",Michael Perry On the Road
Culture,"1,106",10 Streets That Changed America
Culture,963,Wisconsins Scenic Treasures
Culture,953,Green Fire Aldo Leopold and A Land Ethic for Our Time
Culture,820,Hockey Insights from Coach Eaves
Culture,814,Samantha Browns Places to Love
Culture,703,10 Parks That Changed America
Culture,513,In Wisconsin
Culture,509,Jeff  Mister Rogers
Culture,422,PBS Wisconsin Passport
Culture,401,Origin of Everything
Culture,355,Native America
Culture,346,Wisconsin in Black  White
Culture,297,Crash Course
Culture,243,1177 BC The Year Civilization Collapsed
Culture,229,Wisconsin Pride
Culture,187,Minnesota Experience
Culture,187,Epic Train Journeys from Above
Culture,181,Hockey Insights from Coach Butters and Badger Hockey Players
Culture,141,Miriam and Alan Lost in Scotland
Culture,137,Around the Corner with John McGivern
Culture,126,Removed From Home
Culture,112,The Exchange Kaukauna  King 50 Years Later
Culture,110,Wisconsin Stories
Culture,107,Adelante
Culture,106,Veterans Coming Home
Culture,106,Alone in the Wilderness
Culture,100,Cultural Entomology
Culture,96,What if
Culture,92,10 That Changed America
Culture,84,Penwern
Culture,82,LZ Lambeau
Culture,75,Maiingan Brother Wolf
Culture,72,Not Enough Apologies Trauma Stories
Culture,71,Rabbett Before Horses
